run,K,sw,lambda,block_id,block_name,num_F,num_R,F_ratio_block,total_cost_J_sum_zones,k_per_zone
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,0,block_0,66,184,0.264,2.94112133,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,1,block_1,66,184,0.264,3.07702989,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,2,block_2,66,184,0.264,3.81708128,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,3,block_3,66,184,0.264,4.01051431,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,4,block_4,66,184,0.264,3.14053611,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,5,block_5,66,184,0.264,3.29636275,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,6,block_6,66,184,0.264,4.2769903,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,7,block_7,66,184,0.264,3.0852796,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,8,block_8,66,184,0.264,3.25235365,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,9,block_9,66,184,0.264,3.3236489,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,10,block_10,66,184,0.264,3.01414643,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,11,block_11,66,184,0.264,3.20006267,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,12,block_12,66,184,0.264,3.22095666,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,13,block_13,66,184,0.264,3.48773355,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,14,block_14,66,184,0.264,3.17396351,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,15,block_15,66,184,0.264,2.9546447,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,16,block_16,66,184,0.264,3.47848159,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,17,block_17,66,184,0.264,3.02315401,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,18,block_18,66,184,0.264,3.13769643,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,19,block_19,66,184,0.264,3.60451368,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,20,block_20,66,184,0.264,3.04113009,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,21,block_21,66,184,0.264,3.08532472,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,22,block_22,66,184,0.264,2.96683578,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,23,block_23,66,184,0.264,3.87775315,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,24,block_24,66,184,0.264,3.67980709,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,25,block_25,66,184,0.264,3.46577878,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,26,block_26,66,184,0.264,4.15799626,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,27,block_27,66,184,0.264,3.5693681,2;4;4;4;4;2;4;4;4
sweep_K10_sw3_lam1.0_kmax4,10,3,1.0,0,block_0,66,184,0.264,2.83319856,2;4;2;4;4;4;4;2
sweep_K10_sw3_lam1.0_kmax4,10,3,1.0,1,block_1,66,184,0.264,2.94764285,2;4;2;4;4;4;4;2
sweep_K10_sw3_lam1.0_kmax4,10,3,1.0,2,block_2,66,184,0.264,3.59375946,2;4;2;4;4;4;4;2
sweep_K10_sw3_lam1.0_kmax4,10,3,1.0,3,block_3,66,184,0.264,3.76345534,2;4;2;4;4;4;4;2
sweep_K10_sw3_lam1.0_kmax4,10,3,1.0,4,block_4,66,184,0.264,3.00435626,2;4;2;4;4;4;4;2
sweep_K10_sw3_lam1.0_kmax4,10,3,1.0,5,block_5,66,184,0.264,3.14785835,2;4;2;4;4;4;4;2
sweep_K10_sw3_lam1.0_kmax4,10,3,1.0,6,block_6,66,184,0.264,3.97002914,2;4;2;4;4;4;4;2
sweep_K10_sw3_lam1.0_kmax4,10,3,1.0,7,block_7,66,184,0.264,2.96261078,2;4;2;4;4;4;4;2
sweep_K10_sw3_lam1.0_kmax4,10,3,1.0,8,block_8,66,184,0.264,3.11725944,2;4;2;4;4;4;4;2
sweep_K10_sw3_lam1.0_kmax4,10,3,1.0,9,block_9,66,184,0.264,3.17712052,2;4;2;4;4;4;4;2
sweep_K10_sw3_lam1.0_kmax4,10,3,1.0,10,block_10,66,184,0.264,2.89872203,2;4;2;4;4;4;4;2
sweep_K10_sw3_lam1.0_kmax4,10,3,1.0,11,block_11,66,184,0.264,3.06974765,2;4;2;4;4;4;4;2
sweep_K10_sw3_lam1.0_kmax4,10,3,1.0,12,block_12,66,184,0.264,3.08860592,2;4;2;4;4;4;4;2
sweep_K10_sw3_lam1.0_kmax4,10,3,1.0,13,block_13,66,184,0.264,3.34243151,2;4;2;4;4;4;4;2
sweep_K10_sw3_lam1.0_kmax4,10,3,1.0,14,block_14,66,184,0.264,3.04580046,2;4;2;4;4;4;4;2
sweep_K10_sw3_lam1.0_kmax4,10,3,1.0,15,block_15,66,184,0.264,2.84578091,2;4;2;4;4;4;4;2
sweep_K10_sw3_lam1.0_kmax4,10,3,1.0,16,block_16,66,184,0.264,3.32485485,2;4;2;4;4;4;4;2
sweep_K10_sw3_lam1.0_kmax4,10,3,1.0,17,block_17,66,184,0.264,2.90897363,2;4;2;4;4;4;4;2
sweep_K10_sw3_lam1.0_kmax4,10,3,1.0,18,block_18,66,184,0.264,3.0157683,2;4;2;4;4;4;4;2
sweep_K10_sw3_lam1.0_kmax4,10,3,1.0,19,block_19,66,184,0.264,3.44052552,2;4;2;4;4;4;4;2
sweep_K10_sw3_lam1.0_kmax4,10,3,1.0,20,block_20,66,184,0.264,2.92627241,2;4;2;4;4;4;4;2
sweep_K10_sw3_lam1.0_kmax4,10,3,1.0,21,block_21,66,184,0.264,2.97216005,2;4;2;4;4;4;4;2
sweep_K10_sw3_lam1.0_kmax4,10,3,1.0,22,block_22,66,184,0.264,2.85760033,2;4;2;4;4;4;4;2
sweep_K10_sw3_lam1.0_kmax4,10,3,1.0,23,block_23,66,184,0.264,3.71003146,2;4;2;4;4;4;4;2
sweep_K10_sw3_lam1.0_kmax4,10,3,1.0,24,block_24,66,184,0.264,3.55618374,2;4;2;4;4;4;4;2
sweep_K10_sw3_lam1.0_kmax4,10,3,1.0,25,block_25,66,184,0.264,3.4560914,2;4;2;4;4;4;4;2
sweep_K10_sw3_lam1.0_kmax4,10,3,1.0,26,block_26,66,184,0.264,4.2336625,2;4;2;4;4;4;4;2
sweep_K10_sw3_lam1.0_kmax4,10,3,1.0,27,block_27,66,184,0.264,3.52703477,2;4;2;4;4;4;4;2
sweep_K10_sw5_lam1.0_kmax4,10,5,1.0,0,block_0,64,186,0.256,2.15777395,2;4;4;4;4;4;3
sweep_K10_sw5_lam1.0_kmax4,10,5,1.0,1,block_1,64,186,0.256,2.26028095,2;4;4;4;4;4;3
sweep_K10_sw5_lam1.0_kmax4,10,5,1.0,2,block_2,64,186,0.256,2.84840392,2;4;4;4;4;4;3
sweep_K10_sw5_lam1.0_kmax4,10,5,1.0,3,block_3,64,186,0.256,3.00334093,2;4;4;4;4;4;3
sweep_K10_sw5_lam1.0_kmax4,10,5,1.0,4,block_4,64,186,0.256,2.31447859,2;4;4;4;4;4;3
sweep_K10_sw5_lam1.0_kmax4,10,5,1.0,5,block_5,64,186,0.256,2.44821013,2;4;4;4;4;4;3
sweep_K10_sw5_lam1.0_kmax4,10,5,1.0,6,block_6,64,186,0.256,3.1846755,2;4;4;4;4;4;3
sweep_K10_sw5_lam1.0_kmax4,10,5,1.0,7,block_7,64,186,0.256,2.2769634,2;4;4;4;4;4;3
sweep_K10_sw5_lam1.0_kmax4,10,5,1.0,8,block_8,64,186,0.256,2.41980016,2;4;4;4;4;4;3
